Iterações, Bubble Sort, Insertion Sort, Heap Sort, Merge Sort, Quick Sort, Radix Sort
188, 41155, 17926, 4349, 3620, 2647, 3265
189, 41308, 17976, 4372, 3642, 2678, 3282
190, 42153, 18071, 4397, 3664, 2633, 3299
191, 42871, 18254, 4426, 3686, 2722, 3316
192, 43823, 18728, 4453, 3708, 2754, 3333
193, 43501, 18794, 4481, 3730, 2800, 3350
194, 43394, 18782, 4516, 3752, 2684, 3367
195, 44540, 19113, 4547, 3774, 2810, 3384
196, 44959, 19096, 4572, 3796, 2787, 3401
197, 45656, 19549, 4600, 3818, 2849, 3418
198, 45979, 19475, 4634, 3840, 2833, 3435
199, 46481, 19980, 4654, 3862, 2897, 3452
200, 46842, 19963, 4688, 3884, 2896, 3469
201, 46835, 20251, 4700, 3906, 2876, 3486
202, 48044, 20565, 4745, 3928, 2884, 3503
203, 48159, 20908, 4772, 3950, 2925, 3520
204, 48323, 20783, 4794, 3972, 2910, 3537
205, 49338, 21021, 4817, 3994, 2972, 3554
206, 49487, 21201, 4852, 4016, 3032, 3571
207, 50412, 21679, 4865, 4038, 2935, 3588
208, 50998, 22164, 4896, 4060, 2972, 3605
209, 51385, 22402, 4925, 4082, 3051, 3622
210, 51811, 22126, 4961, 4104, 3063, 3639
211, 52007, 22159, 4989, 4126, 3115, 3656
212, 52432, 22451, 5017, 4148, 3063, 3673
213, 53865, 23296, 5029, 4170, 3077, 3690
214, 53653, 23316, 5071, 4192, 3109, 3707
215, 54301, 23359, 5087, 4214, 3161, 3724
216, 55140, 23807, 5112, 4236, 3183, 3741
217, 55052, 23245, 5154, 4258, 3242, 3758
218, 56214, 23774, 5185, 4280, 3228, 3775
219, 56147, 23976, 5205, 4302, 3226, 3792
220, 56349, 24330, 5234, 4324, 3214, 3809
221, 56748, 24285, 5253, 4346, 3305, 3826
222, 57949, 24818, 5294, 4368, 3343, 3843
223, 57953, 24950, 5316, 4390, 3234, 3860
224, 58475, 25124, 5348, 4412, 3266, 3877
225, 59558, 25619, 5359, 4434, 3355, 3894
226, 60856, 25916, 5398, 4456, 3291, 3911
227, 60225, 25336, 5441, 4478, 3311, 3928
228, 60982, 25944, 5461, 4500, 3340, 3945
229, 61390, 26874, 5479, 4522, 3376, 3962
230, 62652, 26939, 5506, 4544, 3426, 3979
231, 62571, 26874, 5530, 4566, 3426, 3996
232, 63591, 27049, 5554, 4588, 3419, 4013
233, 64037, 27433, 5592, 4610, 3446, 4030
234, 64305, 27816, 5622, 4632, 3539, 4047
235, 65880, 27904, 5646, 4654, 3521, 4064
236, 65339, 28017, 5679, 4676, 3559, 4081
237, 66910, 28496, 5708, 4698, 3435, 4098
238, 66722, 28803, 5733, 4720, 3554, 4115
239, 67204, 29040, 5752, 4742, 3540, 4132
240, 67875, 29172, 5790, 4764, 3613, 4149
241, 67667, 29099, 5824, 4786, 3633, 4166
242, 69458, 29305, 5847, 4808, 3533, 4183
243, 68815, 29412, 5867, 4830, 3671, 4200
244, 70104, 29513, 5897, 4852, 3729, 4217
245, 70488, 30299, 5930, 4874, 3673, 4234
246, 71248, 30598, 5961, 4896, 3718, 4251
247, 71470, 30554, 5979, 4918, 3743, 4268
248, 71756, 30935, 6011, 4940, 3741, 4285
249, 73276, 31064, 6043, 4962, 3733, 4302
250, 73744, 31437, 6069, 4984, 3709, 4319
251, 74299, 31798, 6083, 5006, 3813, 4336
252, 74286, 31711, 6128, 5028, 3798, 4353
253, 74978, 32226, 6151, 5050, 3777, 4370
254, 76186, 32534, 6178, 5072, 3832, 4387
255, 76669, 32841, 6209, 5094, 3888, 4404
256, 77259, 33293, 6241, 5116, 3811, 4421
257, 77037, 32803, 6263, 5140, 3938, 4438
258, 78609, 33446, 6290, 5164, 3930, 4455
259, 79680, 34089, 6318, 5188, 3975, 4472
260, 80339, 34265, 6348, 5212, 3989, 4489
261, 80031, 34468, 6379, 5236, 4036, 4506
262, 80516, 34624, 6405, 5260, 4171, 4523
263, 81545, 34868, 6437, 5284, 4040, 4540
264, 81882, 35159, 6475, 5308, 4103, 4557
265, 82819, 35310, 6492, 5332, 3990, 4574
266, 83161, 35643, 6529, 5356, 4077, 4591
267, 83518, 35564, 6572, 5380, 4104, 4608
268, 84505, 36669, 6581, 5404, 4091, 4625
269, 85476, 36288, 6609, 5428, 4145, 4642
270, 86436, 36899, 6646, 5452, 4120, 4659
271, 86600, 36308, 6682, 5476, 4219, 4676
272, 87431, 36722, 6718, 5500, 4163, 4693
273, 88139, 37447, 6717, 5524, 4183, 4710
274, 89091, 38074, 6768, 5548, 4152, 4727
275, 88271, 37684, 6800, 5572, 4189, 4744
276, 89851, 38518, 6821, 5596, 4240, 4761
277, 89716, 38641, 6850, 5620, 4264, 4778
278, 90325, 38813, 6879, 5644, 4195, 4795
279, 90803, 39278, 6910, 5668, 4385, 4812
280, 94100, 39538, 6936, 5692, 4362, 4829
281, 94589, 39908, 6965, 5716, 4300, 4846
282, 94243, 39965, 7001, 5740, 4339, 4863
283, 94491, 40292, 7023, 5764, 4395, 4880
284, 95338, 40741, 7056, 5788, 4383, 4897
285, 95950, 41419, 7077, 5812, 4440, 4914
286, 95966, 41380, 7114, 5836, 4387, 4931
287, 97344, 41238, 7142, 5860, 4398, 4948
288, 99195, 42101, 7162, 5884, 4484, 4965
289, 99127, 42578, 7187, 5908, 4480, 4982
290, 99672, 42820, 7225, 5932, 4520, 4999
291, 98907, 42050, 7264, 5956, 4490, 5016
292, 100683, 42381, 7312, 5980, 4582, 5033
293, 101460, 42765, 7329, 6004, 4631, 5050
294, 101846, 43402, 7344, 6028, 4489, 5067
295, 103190, 43421, 7385, 6052, 4679, 5084
296, 103316, 44245, 7415, 6076, 4699, 5101
297, 104309, 44454, 7449, 6100, 4631, 5118
298, 103967, 44946, 7470, 6124, 4590, 5135
299, 106207, 45192, 7498, 6148, 4627, 5152
300, 106828, 45194, 7530, 6172, 4690, 5169
301, 107303, 45281, 7566, 6196, 4658, 5186
302, 107133, 45487, 7599, 6220, 4719, 5203
303, 109110, 46236, 7611, 6244, 4723, 5220
304, 109638, 46684, 7649, 6268, 4752, 5237
305, 110505, 47057, 7676, 6292, 4779, 5254
306, 110494, 46791, 7717, 6316, 4750, 5271
307, 112075, 48013, 7735, 6340, 4682, 5288
308, 112300, 47621, 7772, 6364, 4863, 5305
309, 112893, 48233, 7799, 6388, 4870, 5322
310, 115000, 48834, 7820, 6412, 4886, 5339
311, 114579, 49213, 7858, 6436, 4886, 5356
312, 114202, 48836, 7897, 6460, 4873, 5373
313, 116304, 49606, 7921, 6484, 4918, 5390
314, 116141, 49993, 7938, 6508, 4921, 5407
315, 119769, 50243, 7961, 6532, 4826, 5424
316, 116994, 49927, 8004, 6556, 5051, 5441
317, 118936, 50292, 8031, 6580, 5057, 5458
318, 120168, 50764, 8065, 6604, 5276, 5475
319, 118301, 50431, 8089, 6628, 5087, 5492
320, 121114, 52169, 8116, 6652, 5065, 5509
321, 123016, 51910, 8163, 6676, 4981, 5526
322, 121622, 51481, 8190, 6700, 5117, 5543
323, 122447, 51888, 8227, 6724, 5106, 5560
324, 124748, 52892, 8250, 6748, 5105, 5577
325, 124927, 53380, 8269, 6772, 5117, 5594
326, 126836, 53616, 8302, 6796, 5286, 5611
327, 126767, 54651, 8325, 6820, 5146, 5628
328, 128847, 54070, 8358, 6844, 5143, 5645
329, 129457, 54626, 8396, 6868, 5104, 5662
330, 127977, 54895, 8439, 6892, 5313, 5679
331, 128593, 54811, 8462, 6916, 5226, 5696
332, 130826, 55037, 8487, 6940, 5384, 5713
333, 131541, 56087, 8505, 6964, 5422, 5730
334, 132285, 56554, 8552, 6988, 5307, 5747
335, 134609, 57005, 8572, 7012, 5304, 5764
336, 132902, 56699, 8595, 7036, 5368, 5781
337, 135740, 58158, 8619, 7060, 5338, 5798
338, 135706, 57524, 8675, 7084, 5409, 5815
339, 137402, 58023, 8687, 7108, 5446, 5832
340, 137205, 58417, 8710, 7132, 5409, 5849
341, 138735, 58683, 8747, 7156, 5397, 5866
342, 139574, 58465, 8786, 7180, 5402, 5883
343, 139148, 58913, 8816, 7204, 5443, 5900
344, 139479, 59371, 8852, 7228, 5480, 5917
345, 141374, 59922, 8868, 7252, 5459, 5934
346, 140925, 59970, 8895, 7276, 5606, 5951
347, 142554, 60690, 8930, 7300, 5625, 5968
348, 143881, 61445, 8965, 7324, 5560, 5985
349, 144492, 61575, 8982, 7348, 5562, 6002
350, 146613, 62249, 9033, 7372, 5684, 6019
351, 145840, 61610, 9047, 7396, 5642, 6036
352, 146802, 61306, 9092, 7420, 5599, 6053
353, 146655, 62305, 9107, 7444, 5635, 6070
354, 148742, 63371, 9125, 7468, 5641, 6087
355, 150906, 63559, 9156, 7492, 5650, 6104
356, 151563, 63844, 9216, 7516, 5679, 6121
357, 151968, 64079, 9240, 7540, 5810, 6138
358, 151460, 64324, 9275, 7564, 5753, 6155
359, 151776, 64456, 9294, 7588, 5776, 6172
360, 153716, 64382, 9353, 7612, 5745, 6189
361, 154826, 65158, 9367, 7636, 5881, 6206
362, 154635, 65402, 9388, 7660, 5855, 6223
363, 156446, 66366, 9401, 7684, 5849, 6240
364, 157020, 66397, 9463, 7708, 5845, 6257
365, 158307, 66296, 9475, 7732, 5872, 6274
366, 159074, 66730, 9521, 7756, 5941, 6291
367, 159504, 66633, 9537, 7780, 6098, 6308
368, 158695, 67492, 9578, 7804, 5893, 6325
369, 160978, 67984, 9599, 7828, 6015, 6342
370, 162713, 68645, 9642, 7852, 5965, 6359
371, 163555, 68224, 9687, 7876, 5947, 6376
372, 164765, 68683, 9706, 7900, 6058, 6393
373, 163603, 68566, 9738, 7924, 6040, 6410
374, 166048, 70120, 9762, 7948, 6149, 6427
375, 166874, 69596, 9801, 7972, 6048, 6444
376, 168215, 69870, 9827, 7996, 6188, 6461
377, 169776, 71579, 9839, 8020, 6105, 6478
378, 170269, 71853, 9870, 8044, 6064, 6495
379, 170628, 71558, 9908, 8068, 6125, 6512
380, 171862, 72630, 9934, 8092, 6242, 6529
381, 173454, 73044, 9982, 8116, 6178, 6546
382, 172918, 72042, 10024, 8140, 6252, 6563
383, 174838, 73455, 10039, 8164, 6250, 6580
384, 175414, 73554, 10049, 8188, 6242, 6597
385, 176197, 73985, 10066, 8212, 6294, 6614
386, 176613, 74481, 10128, 8236, 6331, 6631
387, 178424, 75781, 10141, 8260, 6242, 6648
388, 179400, 75636, 10180, 8284, 6350, 6665
389, 180589, 75340, 10211, 8308, 6405, 6682
390, 180777, 75500, 10265, 8332, 6511, 6699
391, 181300, 75917, 10285, 8356, 6388, 6716
392, 183241, 76688, 10307, 8380, 6511, 6733
393, 183872, 77054, 10325, 8404, 6373, 6750
394, 184573, 77584, 10379, 8428, 6492, 6767
395, 186545, 77759, 10411, 8452, 6564, 6784
396, 186287, 77868, 10452, 8476, 6597, 6801
397, 186628, 78046, 10470, 8500, 6434, 6818
398, 187689, 78734, 10488, 8524, 6515, 6835
399, 189815, 80219, 10513, 8548, 6454, 6852
400, 189737, 79766, 10544, 8572, 6484, 6869
401, 192594, 81602, 10588, 8596, 6379, 6886
402, 191565, 80182, 10618, 8620, 6529, 6903
403, 193130, 81482, 10649, 8644, 6532, 6920
404, 193060, 81179, 10682, 8668, 6498, 6937
405, 194222, 81641, 10708, 8692, 6730, 6954
406, 196841, 81981, 10739, 8716, 6705, 6971
407, 195949, 83472, 10758, 8740, 6624, 6988
408, 199226, 83856, 10790, 8764, 6651, 7005
409, 198550, 83177, 10826, 8788, 6750, 7022
410, 199376, 83406, 10854, 8812, 6875, 7039
411, 202788, 84886, 10884, 8836, 6741, 7056
412, 202688, 85058, 10913, 8860, 6924, 7073
413, 203559, 85225, 10953, 8884, 6790, 7090
414, 204230, 87029, 10980, 8908, 6792, 7107
415, 204258, 85175, 11016, 8932, 6835, 7124
416, 206817, 86517, 11042, 8956, 6932, 7141
417, 205985, 86986, 11083, 8980, 6915, 7158
418, 208103, 86876, 11105, 9004, 7009, 7175
419, 208284, 86479, 11149, 9028, 6838, 7192
420, 210153, 88365, 11160, 9052, 6835, 7209
421, 211395, 88542, 11197, 9076, 7080, 7226
422, 212160, 88885, 11222, 9100, 7053, 7243
423, 214682, 89693, 11258, 9124, 7024, 7260
424, 214558, 89462, 11292, 9148, 7178, 7277
425, 215778, 90846, 11303, 9172, 6857, 7294
426, 216438, 90087, 11371, 9196, 7226, 7311
427, 216805, 90984, 11388, 9220, 7067, 7328
428, 219641, 92287, 11408, 9244, 7056, 7345
429, 220160, 92256, 11442, 9268, 7010, 7362
430, 220540, 92663, 11459, 9292, 7162, 7379
431, 219584, 93476, 11494, 9316, 7204, 7396
432, 223012, 92676, 11535, 9340, 7190, 7413
433, 224777, 93741, 11566, 9364, 7180, 7430
434, 222510, 94317, 11596, 9388, 7283, 7447
435, 227421, 94544, 11612, 9412, 7412, 7464
436, 225575, 94879, 11645, 9436, 7238, 7481
437, 229004, 95733, 11680, 9460, 7252, 7498
438, 229059, 96796, 11708, 9484, 7555, 7515
439, 229587, 96588, 11737, 9508, 7322, 7532
440, 231284, 96487, 11790, 9532, 7459, 7549
441, 231184, 97218, 11798, 9556, 7345, 7566
442, 234645, 97566, 11861, 9580, 7236, 7583
443, 235591, 98648, 11854, 9604, 7368, 7600
444, 234654, 98714, 11911, 9628, 7523, 7617
445, 238127, 99961, 11923, 9652, 7488, 7634
446, 235814, 98444, 11957, 9676, 7523, 7651
447, 238471, 99821, 11997, 9700, 7474, 7668
448, 239957, 100068, 12036, 9724, 7408, 7685
449, 239519, 99871, 12066, 9748, 7513, 7702
450, 240872, 101163, 12098, 9772, 7639, 7719
451, 242438, 102847, 12102, 9796, 7664, 7736
452, 243885, 102515, 12158, 9820, 7594, 7753
453, 244237, 102728, 12176, 9844, 7594, 7770
454, 246040, 103153, 12216, 9868, 7657, 7787
455, 246204, 103047, 12240, 9892, 7569, 7804
456, 247477, 104433, 12270, 9916, 7653, 7821
457, 248451, 104125, 12301, 9940, 7723, 7838
458, 251843, 105041, 12334, 9964, 7577, 7855
459, 250897, 104940, 12355, 9988, 7742, 7872
460, 254659, 105682, 12403, 10012, 7859, 7889
461, 253700, 106145, 12426, 10036, 7707, 7906
462, 254178, 106938, 12453, 10060, 7746, 7923
463, 255458, 107332, 12483, 10084, 7618, 7940
464, 255185, 107771, 12515, 10108, 7778, 7957
465, 258335, 109142, 12539, 10132, 7987, 7974
466, 262667, 109132, 12589, 10156, 7971, 7991
467, 259443, 108547, 12616, 10180, 7871, 8008
468, 259936, 110121, 12639, 10204, 7794, 8025
469, 263080, 109842, 12678, 10228, 8028, 8042
470, 266077, 110061, 12702, 10252, 7966, 8059
471, 264189, 109940, 12736, 10276, 8376, 8076
472, 267986, 110856, 12774, 10300, 8002, 8093
473, 269798, 112224, 12790, 10324, 8067, 8110
474, 268382, 112723, 12815, 10348, 8033, 8127
475, 269907, 113167, 12866, 10372, 7960, 8144
476, 271645, 114287, 12883, 10396, 7859, 8161
477, 272027, 113767, 12928, 10420, 8171, 8178
478, 274260, 114717, 12950, 10444, 8014, 8195
479, 274718, 114534, 12971, 10468, 8058, 8212
480, 278731, 115732, 13009, 10492, 8132, 8229
481, 276297, 116262, 13052, 10516, 8193, 8246
482, 278755, 116575, 13078, 10540, 8260, 8263
483, 280611, 116345, 13108, 10564, 8315, 8280
484, 278873, 116336, 13155, 10588, 8211, 8297
485, 281864, 118109, 13152, 10612, 8144, 8314
486, 284126, 118831, 13195, 10636, 8294, 8331
487, 284216, 118865, 13210, 10660, 8496, 8348
488, 282279, 120379, 13249, 10684, 8271, 8365
489, 284890, 120550, 13289, 10708, 8252, 8382
